node_id,lat,lon,junction_complexity
248838896,12.94424,77.5551976,3
248838897,12.9442743,77.5554998,3
248838898,12.9443045,77.5557657,4
248838900,12.9444421,77.5569792,3
248838923,12.9382659,77.5599786,4
248838924,12.9386678,77.5599805,4
248838926,12.940053,77.5601122,4
248838935,12.9398674,77.5643157,3
248838937,12.9413341,77.5642959,4
248838940,12.9435546,77.5642658,4
248839183,12.9219109,77.5698986,4
248839185,12.9248328,77.5704901,4
248839187,12.9257478,77.5701001,3
248839190,12.926935,77.5682723,3
248839215,12.916966,77.5736454,4
248839221,12.9166112,77.5727716,3
248839230,12.9138893,77.5673497,3
248839249,12.9135811,77.5589536,4
248839252,12.9175634,77.5759882,4
248839255,12.9172606,77.5779446,3
248839368,12.9123597,77.5004808,3
248839372,12.9168194,77.5011329,1
248839374,12.9165085,77.5008035,3
248839459,12.9164459,77.4985942,3
248839476,12.9143397,77.4972262,3
249070830,12.9318565,77.5674124,3
249070833,12.933732,77.5681154,4
249070834,12.9350506,77.5684176,4
249070836,12.9365564,77.5684149,4
249070837,12.9369451,77.5683927,4
249070838,12.9378953,77.5683588,4
249070974,12.9393003,77.5644921,3
249071021,12.9327829,77.5634875,3
249071026,12.9317938,77.5660613,4
249071035,12.9244321,77.565129,3
249071046,12.9294884,77.5656758,3
249071154,12.934573,77.5603409,3
249071495,12.9348156,77.5632053,3
249072289,12.9245515,77.553396,3
249072291,12.923994,77.5532717,4
249072292,12.9239157,77.5532445,4
249072649,12.9229595,77.5562813,3
249072650,12.9224777,77.5561443,4
249072737,12.9171932,77.5548342,4
249072738,12.9162099,77.5545275,3
249072744,12.9117185,77.552182,4
249072817,12.9191786,77.5524108,3
249072819,12.9189171,77.5533425,3
249072820,12.9186965,77.5541702,4
249072981,12.917838,77.5571441,4
249072982,12.9175407,77.5580153,3
249072983,12.9170056,77.5594762,4
249072984,12.9168944,77.5597973,3
249072987,12.9164776,77.5619791,3
249073684,12.94364,77.5819388,4
249073721,12.9393684,77.5830495,3
249073801,12.9362055,77.5849248,3
249073814,12.9344377,77.5898589,4
249073815,12.9344228,77.590489,3
249073816,12.9344482,77.5911487,4
249073818,12.9344263,77.5927055,3
249073947,12.9415383,77.5934031,4
249073956,12.9352953,77.5927239,4
249073959,12.9319971,77.5926107,3
249073965,12.9315301,77.5926042,3
249073967,12.9300751,77.5925478,4
249073970,12.9285519,77.5925021,4
249074044,12.9285585,77.5895115,3
249074047,12.9285581,77.593573,4
249074048,12.9285114,77.5953667,4
249074049,12.9284545,77.5972154,3
249074069,12.9269575,77.5971584,3
249074072,12.9270714,77.5915813,3
249074232,12.9329073,77.5839087,5
249074245,12.930763,77.5866076,4
249074264,12.9319297,77.5909449,3
249074265,12.9320746,77.5905719,3
249074269,12.9327632,77.5873736,3
249074270,12.9328265,77.5866235,3
249074369,12.9363431,77.5805328,3
249074371,12.9330391,77.5805872,4
249074386,12.9309078,77.5761739,4
249074484,12.9189238,77.5778735,4
249074485,12.9199804,77.5778927,4
249074487,12.9226617,77.5779415,4
249074488,12.9234483,77.5779558,4
249074489,12.9273066,77.5780515,4
249074490,12.9287647,77.5780733,4
249075221,12.9245075,77.5970978,4
249075223,12.9205974,77.5969965,4
249075224,12.918942,77.5969535,4
249075245,12.9247965,77.5952736,4
249075247,12.9206044,77.5951629,4
249075335,12.9232411,77.5934453,4
249075408,12.9232692,77.5915231,4
249075410,12.9206314,77.5914821,4
249075414,12.9206548,77.5895725,4
249075424,12.9290883,77.5884161,3
249075447,12.9267829,77.5863002,3
249075448,12.9262945,77.5860491,4
249075449,12.9239786,77.5859701,3
249075496,12.926307,77.5849239,4
249075498,12.9217159,77.5848267,4
249075500,12.9171191,77.5847218,3
249075521,12.9263332,77.5838021,4
249075522,12.9233848,77.583772,4
249075523,12.919875,77.5836929,4
249075524,12.9171323,77.5836638,4
249075528,12.9233766,77.5818076,4
249075659,12.9286878,77.5838241,5
249075661,12.928718,77.5817418,5
249075662,12.9287337,77.5806652,4
249075663,12.92874,77.5802317,3
249075664,12.9287835,77.5767653,3
249076280,12.9604619,77.567261,3
249076281,12.9571605,77.5673721,4
249076282,12.9551812,77.567429,4
249076301,12.9588611,77.5695089,4
249076303,12.9559313,77.5696595,3
249076473,12.9640775,77.5768287,4
249076475,12.9629219,77.5774882,3
249080650,12.9219816,77.5508745,4
249080855,12.9303804,77.5636815,4
249080871,12.9263527,77.5561616,3
249080887,12.924906,77.5566741,4
249081081,12.9302844,77.5476842,3
249081083,12.928829,77.5496025,3
249081084,12.9274092,77.5518384,4
249081138,12.9573249,77.572153,3
249081142,12.9483602,77.5722778,3
249081146,12.9601615,77.5568105,3
249081147,12.9603051,77.5620208,4
249081149,12.9603779,77.564455,4
249081341,12.9655872,77.5925073,4
249081347,12.9677108,77.5898673,3
249081348,12.9673336,77.5884173,3
249081404,12.9730054,77.5816997,3
249082011,12.9921125,77.59446,3
249082069,12.9839484,77.5977237,4
249082071,12.9855324,77.6053517,4
249082493,12.9844668,77.6143858,4
249082564,12.9900162,77.6014039,4
249082832,12.9929014,77.5984316,3
249082836,12.9922893,77.6000414,3
249082850,12.9963472,77.6071575,3
249082999,12.9944474,77.6078286,4
249083003,13.0000112,77.6108819,4
249083106,12.9915868,77.6114355,3
249083137,13.003269,77.5964243,4
249083140,13.0020327,77.5987703,4
249083738,12.9642336,77.5701536,3
249083754,12.9635294,77.579805,3
249083789,12.9644621,77.5775352,3
249083792,12.964095,77.5811256,3
249084139,12.9506343,77.5379887,3
249084140,12.951132,77.5391306,3
249084421,12.9565516,77.5345041,4
249084423,12.9577314,77.5341001,4
249084475,12.9721045,77.5379101,4
249084482,12.9741233,77.5447325,4
249084518,12.9755898,77.5534675,4
249084638,12.9640901,77.5565022,3
249084640,12.9644363,77.5551935,4
249086271,12.9570485,77.5645474,4
249086273,12.9604194,77.5658403,3
249086274,12.9570907,77.5659633,4
249086331,12.9569764,77.5621227,3
249086383,12.9569381,77.5608383,3
249086392,12.9613737,77.5592663,4
249086438,12.9605005,77.5685496,5
249086475,12.9644979,77.5721451,3
249086509,12.9570134,77.5633665,4
249086513,12.956991,77.5626143,3
249086514,12.9537443,77.5626212,3
249086515,12.956959,77.5615406,3
249087226,12.9519096,77.5770771,3
